Field Name                                        	Field Type          	Data Type 	Mask                	Length	None
OvcNumericFieldModPrice                           	TOvcNumericField    	          	$#####.##           	0	F
OvcNumericFieldNoPrice                            	TOvcNumericField    	          	$#####.##           	0	F
OvcNumericFieldDoublePercentage                   	TOvcNumericField    	          	#.##                	0	F
SpecterNewComboBoxCourse                          	TSpecterNewComboBox 	smallint  	                    	12	T
OvcNumericFieldCost                               	TOvcNumericField    	double    	$####.##            	0	F
EditSort                                          	TOvcPictureField    	string    	XX                  	2	F
EditRemoteName                                    	TEdit               	string    	                    	23	F
EditID1                                           	TEdit               	string    	                    	23	F
EditID2                                           	TEdit               	string    	                    	23	F
OvcNumericFieldModifierUnits                      	TOvcNumericField    	shortint  	99                  	0	F
EditSearch1                                       	TEdit               	string    	                    	0	F
SpecterNewComboBoxReportGroupSearch1              	TSpecterNewComboBox 	smallint  	                    	101	F
SpecterNewComboBoxPrinterGroupSearch1             	TSpecterNewComboBox 	smallint  	                    	33	F
SpecterNewComboBoxMenuItemFilterSearch1           	TSpecterNewComboBox 	smallint  	                    	300	F
SpecterNewComboBoxCanvasSearch1                   	TSpecterNewComboBox 	smallint  	                    	251	F
OvcNumericFieldConcept                            	TOvcNumericField    	shortint  	99                  	0	F
SpecterNewComboBoxDependentItem                   	TSpecterNewComboBox 	smallint  	                    	1550	T
FocusFilenameEditRecipeFile                       	TFocusFileNameEdit  	string    	                    	0	F
FocusFilenameEditTrainingFile                     	TFocusFileNameEdit  	string    	                    	0	F
FocusFilenameEditNutritionFile                    	TFocusFileNameEdit  	string    	                    	0	F
SpecterNewComboBoxEffectiveTimeRange              	TSpecterNewComboBox 	smallint  	                    	33	T
FocusFilenameEditAudioFile                        	TFocusFileNameEdit  	string    	                    	0	F
SpecterNewComboBoxTareWeight                      	TSpecterNewComboBox 	smallint  	                    	20	T
FocusDateEditFromDate                             	TOvcPictureField    	date      	mm/dd/yyyy          	10	F
FocusDateEditToDate                               	TOvcPictureField    	date      	mm/dd/yyyy          	10	F
OvcNumericFieldCookTime                           	TOvcNumericField    	shortint  	99                  	0	F
SpecterNewComboBoxPrinterFormat                   	TSpecterNewComboBox 	smallint  	                    	15	T
EditSuggestionID                                  	TEdit               	string    	                    	23	F
OvcNumericFieldIncrementGuests                    	TOvcNumericField    	shortint  	99                  	0	F
OvcNumericFieldSatifiesGuests                     	TOvcNumericField    	shortint  	99                  	0	F
EditInternalID                                    	TEdit               	string    	                    	0	F
CheckBoxDisplayPrice                              	TCheckBox           	boolean   	                    	0	F
EditSearch2                                       	TEdit               	string    	                    	0	F
SpecterNewComboBoxReportGroupSearch2              	TSpecterNewComboBox 	smallint  	                    	101	F
SpecterNewComboBoxPrinterGroupSearch2             	TSpecterNewComboBox 	smallint  	                    	33	F
SpecterNewComboBoxMenuItemFilterSearch2           	TSpecterNewComboBox 	smallint  	                    	300	F
SpecterNewComboBoxCanvasSearch2                   	TSpecterNewComboBox 	smallint  	                    	251	F
SpecterNewComboBoxAutomaticCanvasScreenFormat     	TSpecterNewComboBox 	smallint  	                    	100	T
